,index,column_2,column_3,column_13
157,1659185340157,South Sudan,Office Supplies,5005493.6
158,1659185340158,Gabon,Personal Care,92768.79
159,1659185340159,Belgium,Fruits,54405.04
160,1659185340160,Kiribati,Fruits,61165.88
161,1659185340161,Samoa ,Snacks,704296.32
162,1659185340162,Tajikistan,Clothes,97556.48
163,1659185340163,New Zealand,Fruits,48758.32
164,1659185340164,San Marino,Clothes,320875.52
165,1659185340165,Antigua and Barbuda ,Office Supplies,4845380.8
166,1659185340166,Netherlands,Meat,2076544.86
167,1659185340167,Bosnia and Herzegovina,Baby Food,1306446.9
168,1659185340168,Burundi,Baby Food,575665.62
169,1659185340169,Cambodia,Vegetables,77654.22
170,1659185340170,Turkmenistan,Cereal,686967.26
171,1659185340171,Equatorial Guinea,Clothes,237296.64
172,1659185340172,Nauru,Fruits,56218.08
173,1659185340173,Guinea-Bissau,Baby Food,1181461.62
174,1659185340174,Dominica,Household,4296717.0
175,1659185340175,Botswana,Clothes,273745.92
176,1659185340176,Central African Republic,Personal Care,442366.02
177,1659185340177,Qatar,Office Supplies,2213231.36
178,1659185340178,Oman,Household,4552007.32
179,1659185340179,Sweden,Cosmetics,1726918.14
180,1659185340180,Cyprus,Vegetables,724712.1
181,1659185340181,Liberia,Beverages,209146.41
182,1659185340182,Monaco,Baby Food,431071.68
183,1659185340183,Saint Lucia,Vegetables,790454.49
184,1659185340184,Qatar,Clothes,140707.84
185,1659185340185,Sierra Leone,Clothes,351733.76
186,1659185340186,Panama,Cosmetics,1263984.0
187,1659185340187,Sweden,Vegetables,850741.08
188,1659185340188,Namibia,Beverages,31440.31
189,1659185340189,Seychelles ,Cereal,1081276.63
190,1659185340190,Saudi Arabia,Fruits,4546.44
191,1659185340191,Serbia,Meat,1407703.4
192,1659185340192,Vatican City,Cosmetics,1177085.1
193,1659185340193,Iran,Cereal,17449.39
194,1659185340194,Panama,Office Supplies,2934526.4
195,1659185340195,Tuvalu,Baby Food,1198200.72
196,1659185340196,Djibouti,Household,4865592.28
197,1659185340197,Pakistan,Cereal,922124.14
198,1659185340198,Somalia,Cereal,574892.99
199,1659185340199,Moldova ,Baby Food,898650.54
200,1659185340200,Nigeria,Household,973419.98
201,1659185340201,Lithuania,Fruits,53422.4
202,1659185340202,Portugal,Fruits,27188.68
203,1659185340203,Morocco,Snacks,344645.28
204,1659185340204,Albania,Vegetables,595500.57
205,1659185340205,Uzbekistan,Clothes,179235.84
206,1659185340206,Central African Republic,Fruits,55083.2
207,1659185340207,Equatorial Guinea,Personal Care,369828.42
208,1659185340208,Malta,Beverages,280642.12
209,1659185340209,Mauritania,Snacks,489928.32
210,1659185340210,Greece,Fruits,16033.64
211,1659185340211,Macedonia,Personal Care,562109.73
212,1659185340212,Chad,Household,2054886.06
213,1659185340213,Rwanda,Clothes,111605.76
214,1659185340214,Seychelles ,Meat,842433.9
215,1659185340215,Trinidad and Tobago,Baby Food,1439084.34
216,1659185340216,United Kingdom,Clothes,273925.12
217,1659185340217,Saint Lucia,Clothes,163824.64
218,1659185340218,Grenada,Fruits,22510.76
219,1659185340219,Seychelles ,Cereal,1072961.82
220,1659185340220,Andorra,Office Supplies,2521907.84
221,1659185340221,Guatemala,Baby Food,751346.46
222,1659185340222,Solomon Islands,Household,230665.86
223,1659185340223,Monaco,Baby Food,898809.96
224,1659185340224,Italy,Beverages,28038.78
225,1659185340225,Vietnam,Household,4448484.08
226,1659185340226,Luxembourg,Baby Food,1472881.38
227,1659185340227,Lesotho,Cereal,441153.37
228,1659185340228,Syria,Office Supplies,625752.32
229,1659185340229,Angola,Cereal,269235.89
230,1659185340230,Bosnia and Herzegovina,Office Supplies,2575453.76
231,1659185340231,Cyprus,Vegetables,805730.73
232,1659185340232,Yemen,Cereal,122379.95
233,1659185340233,Belize,Vegetables,33462.24
234,1659185340234,South Korea,Cosmetics,730214.09
235,1659185340235,Norway,Cosmetics,1641335.89
236,1659185340236,Sao Tome and Principe,Fruits,39817.68
237,1659185340237,Yemen,Snacks,815670.24
238,1659185340238,Maldives,Meat,2972952.88
239,1659185340239,Belize,Clothes,42864.64
240,1659185340240,Luxembourg,Cereal,73896.41
241,1659185340241,Bahrain,Personal Care,91862.07
242,1659185340242,Kenya,Household,3194144.24
243,1659185340243,Nepal,Vegetables,823916.73
244,1659185340244,Georgia,Clothes,35481.6
245,1659185340245,Benin,Beverages,172619.7
246,1659185340246,The Bahamas,Clothes,96660.48
247,1659185340247,Moldova ,Baby Food,819578.22
248,1659185340248,Maldives,Personal Care,121387.14
249,1659185340249,Israel,Cereal,598432.1
250,1659185340250,Namibia,Cereal,291369.68
251,1659185340251,Solomon Islands,Cosmetics,1250817.5
252,1659185340252,Tuvalu,Clothes,336896.0
253,1659185340253,Taiwan,Cosmetics,1573133.42
254,1659185340254,Tuvalu,Snacks,101435.04
255,1659185340255,Afghanistan,Snacks,311613.12
256,1659185340256,Sweden,Office Supplies,4239576.96
257,1659185340257,South Sudan,Personal Care,188994.45
258,1659185340258,Portugal,Fruits,25389.48
259,1659185340259,France,Office Supplies,3044768.0
260,1659185340260,China,Beverages,110724.57
261,1659185340261,Sierra Leone,Vegetables,227779.65
262,1659185340262,Panama,Personal Care,322112.28
263,1659185340263,Solomon Islands,Baby Food,1254157.14
264,1659185340264,Nauru,Vegetables,84928.62
265,1659185340265,Slovenia,Snacks,857179.68
266,1659185340266,Australia,Beverages,76232.42
267,1659185340267,Norway,Beverages,149762.69
268,1659185340268,Central African Republic,Baby Food,915230.22
269,1659185340269,Azerbaijan,Cosmetics,1981031.59
270,1659185340270,Cote d'Ivoire,Household,4585677.5
271,1659185340271,Egypt,Fruits,11390.32
272,1659185340272,Benin,Baby Food,512694.72
273,1659185340273,Andorra,Personal Care,226396.65
274,1659185340274,Poland,Snacks,114686.88
275,1659185340275,Mexico,Vegetables,362265.12
276,1659185340276,Yemen,Household,4358026.88
277,1659185340277,Turkey,Vegetables,320710.11
278,1659185340278,United Kingdom,Snacks,376703.04
279,1659185340279,Papua New Guinea,Vegetables,639874.41
280,1659185340280,Togo,Fruits,51360.24
281,1659185340281,Slovakia,Household,718632.2
282,1659185340282,Czech Republic,Clothes,89743.36
283,1659185340283,Sierra Leone,Meat,2231173.42
284,1659185340284,Samoa ,Snacks,465470.88
285,1659185340285,Latvia,Household,1516163.18
286,1659185340286,Albania,Snacks,234343.2
287,1659185340287,Nicaragua,Baby Food,1042606.8
288,1659185340288,Tanzania,Clothes,216867.84
289,1659185340289,Iceland,Clothes,129024.0
290,1659185340290,Guinea,Office Supplies,4661644.8
291,1659185340291,Burkina Faso,Cereal,423235.54
292,1659185340292,Malaysia,Cosmetics,1726391.48
293,1659185340293,Niger,Beverages,269992.47
294,1659185340294,Qatar,Meat,2641449.67
295,1659185340295,Liechtenstein,Beverages,84338.87
296,1659185340296,Zambia,Vegetables,145851.72
297,1659185340297,Iraq,Personal Care,170463.36
298,1659185340298,Kazakhstan,Meat,1022955.45
299,1659185340299,Oman,Snacks,874036.8
300,1659185340300,Mauritania,Meat,2373767.21
301,1659185340301,Mozambique,Snacks,239312.64
302,1659185340302,Panama,Meat,320927.2
303,1659185340303,Canada,Baby Food,1255910.76
304,1659185340304,Jordan,Clothes,235898.88
305,1659185340305,Azerbaijan,Beverages,68380.29
306,1659185340306,Liechtenstein,Snacks,660545.76
307,1659185340307,Gabon,Household,2356410.06
308,1659185340308,Netherlands,Office Supplies,3745589.6
309,1659185340309,Guatemala,Cereal,867199.55
310,1659185340310,Ethiopia,Household,2922270.1
311,1659185340311,Andorra,Beverages,149858.06
312,1659185340312,Tonga,Household,1749844.28
313,1659185340313,Barbados,Meat,1287720.39
314,1659185340314,Mongolia,Cosmetics,869252.33
315,1659185340315,Ukraine,Cereal,382715.48
316,1659185340316,Oman,Clothes,33546.24
317,1659185340317,Montenegro,Meat,2129789.6
318,1659185340318,Mauritania,Household,2286557.0
319,1659185340319,South Sudan,Office Supplies,2972323.52
320,1659185340320,United States of America,Beverages,152814.53
321,1659185340321,Saint Kitts and Nevis ,Cosmetics,2540344.51
322,1659185340322,France,Fruits,33721.16
323,1659185340323,Guinea,Baby Food,1149258.78
324,1659185340324,Italy,Vegetables,37281.3
325,1659185340325,Belize,Snacks,25529.28
326,1659185340326,Myanmar,Fruits,66314.36
327,1659185340327,Dominican Republic,Cosmetics,848185.93
328,1659185340328,Turkmenistan,Cosmetics,804736.48
329,1659185340329,Panama,Personal Care,169953.33
330,1659185340330,Montenegro,Snacks,389077.92
331,1659185340331,Gabon,Cosmetics,2372866.63
332,1659185340332,Jordan,Clothes,288798.72
333,1659185340333,Syria,Clothes,113612.8
334,1659185340334,Mauritania,Fruits,23631.8
335,1659185340335,Benin,Cereal,1158335.01
336,1659185340336,Samoa ,Fruits,5037.76
337,1659185340337,Mali,Meat,2220232.72
338,1659185340338,Guatemala,Household,1589031.48
339,1659185340339,Cote d'Ivoire,Fruits,8124.08
340,1659185340340,Swaziland,Beverages,202820.2
341,1659185340341,Democratic Republic of the Congo,Cereal,827382.15
342,1659185340342,Somalia,Vegetables,777087.78
343,1659185340343,France,Snacks,796377.12
344,1659185340344,Estonia,Beverages,10331.75
345,1659185340345,Liechtenstein,Clothes,50641.92
346,1659185340346,Sri Lanka,Office Supplies,2561804.8
347,1659185340347,Fiji,Baby Food,988244.58
348,1659185340348,Djibouti,Meat,2872298.44
349,1659185340349,Syria,Personal Care,251898.15
350,1659185340350,Jamaica,Fruits,51733.92
351,1659185340351,Tanzania,Cereal,66284.26
352,1659185340352,Romania,Snacks,423376.8
353,1659185340353,Benin,Beverages,46858.46
354,1659185340354,Jordan,Baby Food,262564.74
355,1659185340355,Nicaragua,Fruits,45568.2
356,1659185340356,Palau,Fruits,34911.4
357,1659185340357,Laos,Baby Food,1245389.04
358,1659185340358,Morocco,Snacks,263477.76
359,1659185340359,United States of America,Clothes,342988.8
360,1659185340360,Haiti,Snacks,515360.16
361,1659185340361,Senegal,Beverages,278861.88
362,1659185340362,Philippines,Baby Food,950462.04
363,1659185340363,South Korea,Clothes,173214.72
364,1659185340364,Niger,Beverages,12334.52
365,1659185340365,Montenegro,Baby Food,1540953.72
366,1659185340366,Turkey,Clothes,241274.88
367,1659185340367,The Bahamas,Office Supplies,4034842.56
368,1659185340368,India,Personal Care,320582.19
369,1659185340369,Oman,Office Supplies,3047917.76
370,1659185340370,Mongolia,Fruits,2255.92
371,1659185340371,Romania,Cereal,402975.51
372,1659185340372,Grenada,Fruits,44329.52
373,1659185340373,Guatemala,Office Supplies,1315024.8
374,1659185340374,Vanuatu,Clothes,73758.72
375,1659185340375,Israel,Baby Food,1181621.04
376,1659185340376,New Zealand,Beverages,252666.92
377,1659185340377,Bangladesh,Cosmetics,1336663.08
378,1659185340378,Liechtenstein,Meat,2640355.6
379,1659185340379,Taiwan,Fruits,33984.12
380,1659185340380,Sweden,Baby Food,892273.74
381,1659185340381,Mozambique,Baby Food,1407838.02
382,1659185340382,Central African Republic,Household,594504.82
383,1659185340383,Botswana,Cereal,146504.61
384,1659185340384,Trinidad and Tobago,Personal Care,264308.88
385,1659185340385,Portugal,Baby Food,1448011.86
386,1659185340386,Belgium,Meat,3355877.38
387,1659185340387,Tunisia ,Snacks,169837.92
388,1659185340388,Mali,Beverages,14655.19
389,1659185340389,Estonia,Office Supplies,600554.24
390,1659185340390,Grenada,Cosmetics,1739821.31
391,1659185340391,Yemen,Personal Care,96339.0
392,1659185340392,Greece,Fruits,57456.76
393,1659185340393,Rwanda,Personal Care,18474.42
394,1659185340394,China,Beverages,276954.48
395,1659185340395,Tajikistan,Personal Care,364671.45
396,1659185340396,Eritrea,Clothes,125440.0
397,1659185340397,Latvia,Personal Care,110053.14
398,1659185340398,New Zealand,Baby Food,132318.6
399,1659185340399,Pakistan,Cereal,147675.71
400,1659185340400,France,Clothes,48957.44
401,1659185340401,Latvia,Household,655814.7
402,1659185340402,Mozambique,Household,4157010.88
403,1659185340403,Samoa ,Vegetables,135485.7
404,1659185340404,Costa Rica,Vegetables,655878.09
405,1659185340405,Turkey,Baby Food,594158.34
406,1659185340406,China,Baby Food,1012635.84
407,1659185340407,Lesotho,Meat,887290.77
408,1659185340408,Nigeria,Clothes,227691.52
409,1659185340409,Iceland,Baby Food,720737.82
410,1659185340410,New Zealand,Vegetables,34644.33
411,1659185340411,Laos,Clothes,337075.2
412,1659185340412,United States of America,Fruits,28365.08
413,1659185340413,Azerbaijan,Household,4522357.46
414,1659185340414,Japan,Snacks,552679.68
415,1659185340415,Morocco,Office Supplies,4051116.32
416,1659185340416,Singapore,Cereal,675022.04
417,1659185340417,China,Vegetables,224869.89
418,1659185340418,Botswana,Clothes,270161.92
419,1659185340419,Saint Kitts and Nevis ,Household,1347812.28
420,1659185340420,Zimbabwe,Office Supplies,3495708.64
421,1659185340421,Greece,Fruits,1771.52
422,1659185340422,United Arab Emirates,Vegetables,117390.63
423,1659185340423,Gabon,Household,4830414.48
424,1659185340424,Italy,Meat,765119.62
425,1659185340425,El Salvador,Meat,2793890.09
426,1659185340426,Morocco,Household,1127699.76
427,1659185340427,Nauru,Clothes,136908.8
428,1659185340428,Australia,Meat,2696153.17
429,1659185340429,Tajikistan,Office Supplies,5249600.0
430,1659185340430,Fiji,Cosmetics,1503350.97
431,1659185340431,Saint Vincent and the Grenadines,Cereal,72373.98
432,1659185340432,Fiji,Household,3948456.78
433,1659185340433,Finland,Cosmetics,680971.38
434,1659185340434,Niger,Snacks,681982.56
435,1659185340435,Syria,Snacks,518283.36
436,1659185340436,Mauritius ,Fruits,60902.92
437,1659185340437,Benin,Beverages,23238.49
438,1659185340438,Croatia,Cereal,166998.86
439,1659185340439,Algeria,Fruits,22386.2
440,1659185340440,Tuvalu,Office Supplies,2907753.44
441,1659185340441,Switzerland,Cereal,1141471.17
442,1659185340442,Kenya,Baby Food,685984.26
443,1659185340443,Kenya,Personal Care,548565.6
444,1659185340444,Senegal,Office Supplies,1775939.68
445,1659185340445,Yemen,Household,2486065.38
446,1659185340446,Saint Lucia,Snacks,91788.48
447,1659185340447,United Kingdom,Baby Food,1588460.88
448,1659185340448,Mozambique,Office Supplies,4013319.2
449,1659185340449,France,Baby Food,262086.48
450,1659185340450,Bulgaria,Snacks,648560.64
451,1659185340451,Madagascar,Clothes,336967.68
452,1659185340452,Austria,Clothes,130385.92
453,1659185340453,Bahrain,Fruits,35638.0
454,1659185340454,Iraq,Fruits,46751.52
455,1659185340455,Bangladesh,Cereal,387048.55
456,1659185340456,Benin,Meat,2434305.75
457,1659185340457,Taiwan,Household,390976.12
458,1659185340458,Benin,Fruits,45374.44
459,1659185340459,United States of America,Fruits,48336.2
460,1659185340460,Germany,Baby Food,329521.14
461,1659185340461,Guatemala,Meat,1400409.6
462,1659185340462,Iran,Baby Food,218405.4
463,1659185340463,Nigeria,Vegetables,523393.08
464,1659185340464,Kenya,Vegetables,466289.04
465,1659185340465,North Korea,Beverages,306709.92
466,1659185340466,Singapore,Snacks,634042.08
467,1659185340467,Armenia,Personal Care,279383.1
468,1659185340468,Czech Republic,Beverages,37194.3
469,1659185340469,Sao Tome and Principe,Cosmetics,925604.95
470,1659185340470,Sierra Leone,Beverages,231494.78
471,1659185340471,Austria,Vegetables,892841.67
472,1659185340472,Lithuania,Snacks,536504.64
473,1659185340473,Lithuania,Office Supplies,395819.84
474,1659185340474,South Africa,Office Supplies,4727789.76
475,1659185340475,Turkey,Household,2882569.44
476,1659185340476,Moldova ,Fruits,23853.24
477,1659185340477,Uzbekistan,Beverages,212261.83
478,1659185340478,Ukraine,Household,3514262.22
479,1659185340479,El Salvador,Beverages,254097.47
480,1659185340480,Malawi,Meat,111959.83
481,1659185340481,Montenegro,Beverages,209718.63
482,1659185340482,Morocco,Clothes,234895.36
483,1659185340483,Republic of the Congo,Fruits,13168.76
484,1659185340484,East Timor,Snacks,136221.12
485,1659185340485,Cote d'Ivoire,Household,2927798.04
486,1659185340486,Hungary,Baby Food,478738.26
487,1659185340487,Cambodia,Snacks,270785.76
488,1659185340488,Morocco,Vegetables,184860.69
489,1659185340489,Latvia,Fruits,66957.92
490,1659185340490,Kosovo,Personal Care,93562.17
491,1659185340491,Zambia,Baby Food,945679.44
492,1659185340492,Laos,Fruits,52059.16
493,1659185340493,Seychelles ,Beverages,109993.4
494,1659185340494,Burkina Faso,Household,3925842.48
495,1659185340495,Madagascar,Snacks,650412.0
496,1659185340496,Tanzania,Beverages,101155.78
497,1659185340497,Vatican City,Baby Food,397115.22
498,1659185340498,Saint Kitts and Nevis ,Personal Care,385185.99
499,1659185340499,Myanmar,Household,161817.88
500,1659185340500,Philippines,Office Supplies,2268352.16
501,1659185340501,Liberia,Household,1045785.74
502,1659185340502,Cameroon,Meat,1429220.11
503,1659185340503,Jordan,Household,1097547.36
504,1659185340504,Myanmar,Baby Food,997012.68
505,1659185340505,Maldives,Cereal,883360.73
506,1659185340506,Pakistan,Household,2256907.14
507,1659185340507,Sweden,Cereal,886874.03
508,1659185340508,Albania,Baby Food,684549.48
509,1659185340509,Guinea-Bissau,Meat,1527321.72
510,1659185340510,Trinidad and Tobago,Fruits,26469.0
511,1659185340511,Montenegro,Cereal,211149.33
512,1659185340512,North Korea,Office Supplies,1969124.96
513,1659185340513,Belgium,Cosmetics,1930472.23
514,1659185340514,Italy,Office Supplies,3797560.64
515,1659185340515,Liechtenstein,Beverages,5912.94
516,1659185340516,Niger,Household,4995247.6
517,1659185340517,South Korea,Fruits,15791.44
518,1659185340518,Mozambique,Meat,11305.39
519,1659185340519,Malawi,Snacks,782832.96
520,1659185340520,India,Beverages,259787.88
521,1659185340521,Netherlands,Cereal,510014.05
522,1659185340522,Iceland,Household,3782618.58
523,1659185340523,Japan,Baby Food,105217.2
524,1659185340524,Japan,Vegetables,341896.8
525,1659185340525,South Sudan,Household,4453509.48
526,1659185340526,Netherlands,Cosmetics,1325866.55
527,1659185340527,United Kingdom,Household,1696575.04
528,1659185340528,Albania,Cosmetics,530873.28
529,1659185340529,Ghana,Office Supplies,585855.36
530,1659185340530,Netherlands,Cosmetics,2071617.11
531,1659185340531,Trinidad and Tobago,Cereal,175079.45
532,1659185340532,Uzbekistan,Household,4147462.62
533,1659185340533,Sweden,Meat,2344227.32
534,1659185340534,Guinea-Bissau,Beverages,42503.23
535,1659185340535,Senegal,Vegetables,29915.97
536,1659185340536,Indonesia,Baby Food,1240925.28
537,1659185340537,Sweden,Cereal,13233.43
538,1659185340538,Rwanda,Household,380422.78
539,1659185340539,Ukraine,Clothes,186081.28
540,1659185340540,Iceland,Office Supplies,3108288.16
541,1659185340541,Iran,Office Supplies,3927225.76
542,1659185340542,South Korea,Personal Care,81548.13
543,1659185340543,Kazakhstan,Personal Care,78997.98
544,1659185340544,Barbados,Cosmetics,2100320.08
545,1659185340545,Australia,Clothes,137840.64
546,1659185340546,Mozambique,Beverages,276445.84
547,1659185340547,Senegal,Baby Food,677535.0
548,1659185340548,Bhutan,Office Supplies,4862179.52
549,1659185340549,Afghanistan,Fruits,31278.4
550,1659185340550,Mexico,Snacks,763929.6
551,1659185340551,France,Cosmetics,2388403.1
552,1659185340552,Sri Lanka,Vegetables,463015.56
553,1659185340553,United Arab Emirates,Cosmetics,1267933.95
554,1659185340554,Nicaragua,Personal Care,237050.61
555,1659185340555,Fiji,Office Supplies,613678.24
556,1659185340556,Andorra,Fruits,5383.76
557,1659185340557,Benin,Clothes,1612.8
558,1659185340558,Serbia,Meat,1108292.91
559,1659185340559,Brunei,Snacks,570803.52
560,1659185340560,Australia,Vegetables,148397.76
561,1659185340561,Guinea,Cereal,646564.31
562,1659185340562,Ukraine,Personal Care,550775.73
563,1659185340563,Tuvalu,Clothes,302848.0
564,1659185340564,Montenegro,Clothes,106337.28
565,1659185340565,Solomon Islands,Personal Care,371585.19
566,1659185340566,Thailand,Cosmetics,2511378.21
567,1659185340567,Armenia,Vegetables,387089.01
568,1659185340568,Tunisia ,Snacks,9256.8
569,1659185340569,Chad,Vegetables,769631.52
570,1659185340570,Djibouti,Meat,2846040.76
571,1659185340571,Austria,Clothes,307901.44
572,1659185340572,Ethiopia,Clothes,298511.36
573,1659185340573,France,Personal Care,371471.85
574,1659185340574,Cote d'Ivoire,Clothes,352450.56
